tic,Class_end,Settle_dismiss,year,Month,gap,sic,lgap,settleamt
AAPL,11/8/2006,28/09/2010,2010,9,1509,3571,7.3192024,0
ABIX,16/04/2004,6/5/2005,2005,5,385,5190,5.9532433,900000
ABX,26/09/2002,30/03/2009,2009,3,2377,1041,7.7735944,24000000
ACUR,22/04/2010,31/10/2011,2011,10,557,2834,6.3225651,0
ADAT,27/05/2005,27/01/2011,2011,1,2071,7372,7.635787,1900000
ADEX,13/06/2006,10/7/2006,2006,7,27,3820,5.4116459,0
ADPI,13/12/2007,15/12/2009,2009,12,733,8090,6.5971456,0
ADRX,4/3/2003,10/6/2005,2005,6,829,2834,6.7202201,0
ADUS,26/03/2010,21/03/2011,2011,3,360,9999,5.8861041,3000000
AET,7/6/2001,10/5/2005,2005,5,1433,6324,7.2675252,0
AGP,28/09/2005,13/11/2006,2006,11,411,6324,6.0185933,0
AIG,13/10/2004,30/09/2014,2014,9,3639,6331,8.0385122,0
AIM,17/03/2003,9/8/2005,2005,8,876,3812,6.7753663,5350000
ALLT,2/4/2007,5/8/2010,2010,8,1221,3577,7.1074257,0
ALTH,3/5/2004,21/02/2008,2008,2,1389,2830,7.2363396,0
AMCC,5/2/2001,17/03/2005,2005,3,1501,3670,7.3138866,60000000
AMED,13/05/2010,13/12/2013,2013,12,1310,8080,7.1777825,0
AMKR,1/7/2004,23/12/2008,2008,12,1636,3674,7.4000096,0
AMSC,5/4/2011,20/11/2013,2013,11,960,3670,6.8669333,0
AMZN,30/10/2000,10/3/2005,2005,3,1592,7370,7.3727465,27500000
ANF,13/10/1999,3/11/2006,2006,11,2578,5651,7.8547692,0
ANF,16/08/2005,22/06/2010,2010,6,1771,5651,7.4792995,0
APSG,22/02/2005,2/4/2009,2009,4,1500,3661,7.3132205,2700000
ARB,26/11/2007,14/05/2012,2012,5,1631,7389,7.3969488,0
ARO,3/8/2011,29/01/2014,2014,1,910,5641,6.8134446,0
ARTC,23/01/2008,9/2/2012,2012,2,1478,3845,7.2984452,0
ARTX,14/11/2005,7/1/2010,2010,1,1515,3691,7.3231707,0
ATRC,16/02/2006,25/10/2010,2010,10,1712,3841,7.4454174,0
ATRC,31/10/2008,30/07/2010,2010,7,637,3841,6.4567695,0
ATX,22/04/1999,20/07/2005,2005,7,2281,3951,7.7323694,1500000
AXTI,27/04/2004,24/05/2007,2007,5,1122,3674,7.0228682,0
AYE,8/10/2002,7/2/2006,2006,2,1218,4911,7.1049652,15050000
BAC,17/01/2009,30/11/2012,2012,11,1413,6021,7.2534704,0
BBND,28/09/2007,6/4/2009,2009,4,556,3663,6.3207684,0
BEL,22/07/2004,16/11/2005,2005,11,482,2879,6.1779442,0
BEN,4/2/2004,9/6/2011,2011,6,2682,6282,7.8943181,0
BKR,22/02/2008,3/4/2009,2009,4,406,8711,6.0063534,0
BLUD,29/08/2005,14/05/2007,2007,5,623,2830,6.4345465,2500000
BMY,19/04/2000,2/3/2006,2006,3,2143,2834,7.6699619,185000000
BMY,8/8/2006,18/08/2009,2009,8,1106,2834,7.0085053,0
BPOP,22/01/2009,17/06/2011,2011,6,876,6710,6.7753663,0
BPT,4/8/2006,16/03/2009,2009,3,955,2911,6.8617115,43250000
BRCD,15/05/2005,24/10/2008,2008,10,1258,3572,7.1372786,0
BRCM,26/02/2001,27/06/2005,2005,6,1582,3670,7.3664451,150000000
BRCM,13/07/2006,30/04/2010,2010,4,1387,3670,7.2348986,0
BRKS,22/05/2006,24/06/2008,2008,6,764,3550,6.6385679,0
BX,10/3/2008,28/08/2013,2013,8,1997,6282,7.5994015,0
BXS,25/02/2010,1/6/2012,2012,6,827,6022,6.7178049,0
BZH,27/03/2007,5/5/2009,2009,5,770,1531,6.6463904,0
C,2/11/2007,29/08/2012,2012,8,1762,6021,7.474205,0
CAO,24/03/2006,16/04/2008,2008,4,754,5013,6.6253924,0
CASH,12/10/2010,5/1/2012,2012,1,450,6020,6.1092477,2100000
CBI,3/2/2006,22/01/2008,2008,1,718,1629,6.5764694,10500000
CBM,25/07/2003,20/12/2007,2007,12,1609,2834,7.383368,0
CBR,3/8/2011,26/11/2013,2013,11,846,7371,6.7405195,0
CDNS,22/10/2008,15/06/2011,2011,6,966,7372,6.8731637,0
CECO,2/12/2003,5/11/2007,2007,11,1434,8200,7.2682228,0
CECO,1/11/2011,4/11/2013,2013,11,734,8200,6.5985088,0
CERS,3/9/2003,8/9/2006,2006,9,1101,2830,7.003974,0
CGA,1/9/2010,18/03/2014,2014,3,1294,2873,7.1654935,0
CHE,16/11/2011,6/2/2014,2014,2,813,8082,6.7007313,0
CHKP,4/4/2002,2/3/2007,2007,3,1793,7370,7.4916453,0
CHTR,17/07/2002,15/02/2005,2005,2,944,4840,6.8501263,146250000
CI,24/10/2002,24/01/2007,2007,1,1553,6324,7.3479438,93000000
CISG,14/09/2011,19/03/2014,2014,3,917,6411,6.8211074,0
CIT,5/3/2008,13/03/2012,2012,3,1469,6021,7.2923369,0
CLZR,21/08/2006,16/01/2009,2009,1,879,3840,6.7787848,0
CMA,1/10/2002,29/06/2005,2005,6,1002,6021,6.9097533,15000000
CMS,10/5/2002,22/05/2007,2007,5,1838,4931,7.5164332,200000000
CNC,15/07/2002,18/10/2010,2010,10,3017,6324,8.0120182,0
CNX,18/07/2002,2/2/2007,2007,2,1660,1222,7.4145727,2700000
COO,21/11/2005,29/07/2010,2010,7,1711,3851,7.4448333,27000000
CRA,14/03/2000,18/03/2010,2010,3,3656,0,8.0385122,11000000
CRDS,26/07/2000,14/02/2005,2005,2,1664,3570,7.4169798,4350000
CRI,24/07/2007,21/12/2011,2011,12,1611,2341,7.3846102,0
CRN,5/3/2002,26/08/2005,2005,8,1270,8744,7.1467724,0
CROX,31/10/2007,14/05/2012,2012,5,1657,3021,7.4127641,0
CRY,26/06/2002,29/08/2005,2005,8,1160,8099,7.0561752,23250000
CS,19/02/2008,10/3/2011,2011,3,1115,6022,7.0166097,0
CSCO,6/2/2001,28/08/2006,2006,8,2029,3674,7.6152983,99250000
CTIC,8/2/2010,14/02/2012,2012,2,736,2834,6.6012301,0
CVS,27/06/2001,6/6/2005,2005,6,1440,5912,7.2723985,110000000
CVTX,1/8/2003,8/12/2006,2006,12,1225,2836,7.1106963,0
CWP,6/12/2002,13/05/2005,2005,5,889,4813,6.7900972,0
DBD,15/01/2008,8/11/2013,2013,11,2124,3578,7.6610565,0
DELL,8/9/2006,16/12/2009,2009,12,1195,3570,7.0859013,0
DGSE,17/04/2012,3/7/2013,2013,7,442,5094,6.09131,0
DQE,30/04/2001,15/07/2005,2005,7,1537,4911,7.3375878,12000000
DSGX,6/5/2004,1/6/2005,2005,6,391,7370,5.9687076,1500000
DYII,18/12/2003,18/10/2006,2006,10,1035,8080,6.9421568,0
DYN,24/04/2002,10/3/2005,2005,3,1051,4922,6.9574976,473000000
EP,29/05/2002,26/10/2006,2006,10,1611,1311,7.3846102,0
EPAX,23/10/2007,13/07/2011,2011,7,1359,4725,7.2145042,7500000
ES,14/10/2008,19/11/2012,2012,11,1497,4955,7.3112183,0
ESST,12/9/2002,30/04/2007,2007,4,1691,3670,7.4330754,3500000
FALC,29/09/2010,6/5/2013,2013,5,950,3572,6.856462,0
FARO,3/11/2005,2/6/2008,2008,6,942,3820,6.8480053,6875000
FAZ,9/4/2009,31/01/2013,2013,1,1393,6726,7.2392149,0
FBP,25/08/2005,24/07/2007,2007,7,698,6022,6.5482192,0
FFHL,16/10/2007,16/09/2010,2010,9,1066,3081,6.9716687,0
FIRE,9/4/2007,11/2/2009,2009,2,674,7375,6.5132303,3008170
FITB,17/06/2008,20/12/2012,2012,12,1647,6711,7.4067106,0
FLR,18/02/1997,29/03/2005,2005,3,2961,1623,7.9932823,18000000
FLS,27/09/2002,18/12/2009,2009,12,2639,3561,7.8781552,0
FRX,1/9/2004,23/12/2008,2008,12,1574,2834,7.3613753,0
GA,19/11/2007,27/07/2011,2011,7,1346,7389,7.2048926,13000000
GCT,10/3/2006,9/11/2007,2007,11,609,6513,6.4118185,0
GE,27/02/2009,29/04/2013,2013,4,1522,3511,7.3277807,0
GIL,29/04/2008,2/8/2010,2010,8,825,2252,6.7153835,0
GILD,28/10/2003,28/06/2010,2010,6,2435,2830,7.7977018,8250000
GM,16/03/2005,17/09/2008,2008,9,1281,3711,7.1553965,0
GNSS,14/06/2002,14/06/2006,2006,6,1461,5060,7.2868762,1750000
GRO,8/4/2008,9/8/2010,2010,8,853,115,6.7487597,0
GRVY,12/5/2005,17/08/2007,2007,8,827,7371,6.7178049,10000000
GSAT,5/2/2007,11/9/2009,2009,9,949,4899,6.8554087,0
HCLP,21/11/2012,12/9/2014,2014,9,660,1446,6.49224,0
HEB,30/10/2009,9/11/2010,2010,11,375,2836,5.9269261,0
HELE,10/10/2005,16/01/2008,2008,1,828,3634,6.7190132,0
HIG,13/10/2004,28/08/2009,2009,8,1780,6411,7.4843688,3850000
HIMX,30/07/2007,6/2/2009,2009,2,557,3674,6.3225651,1200000
HLIT,26/06/2000,7/2/2007,2007,2,2417,3660,7.7902822,0
HLYS,8/8/2007,27/07/2009,2009,7,719,3140,6.5778613,0
HMY,7/8/2007,18/07/2011,2011,7,1441,1041,7.2730927,0
HNSN,18/10/2009,9/5/2013,2013,5,1299,3842,7.1693501,0
HOV,13/08/2007,11/9/2009,2009,9,760,1531,6.6333184,0
HRLY,14/06/2006,2/7/2010,2010,7,1479,3812,7.2991214,0
HSP,17/10/2011,27/03/2014,2014,3,892,2834,6.7934661,0
HTRN,25/07/2003,22/08/2005,2005,8,759,3845,6.6320019,2825000
HURN,31/07/2009,19/01/2011,2011,1,537,8742,6.2859979,0
HUSA,18/04/2012,30/12/2014,2014,12,986,1311,6.8936563,0
IBIS,12/12/2003,25/01/2007,2007,1,1140,3670,7.0387836,1900000
IBM,15/04/2005,30/05/2008,2008,5,1141,3571,7.0396605,20000000
IDI,20/08/2010,30/11/2011,2011,11,467,7312,6.1463294,0
IIH,8/4/2002,1/6/2009,2009,6,2611,6726,7.8674884,788024
IKAN,8/3/2006,28/02/2013,2013,2,2549,3661,7.8434563,0
ILA,3/12/2001,18/11/2005,2005,11,1446,4931,7.2765565,0
INAP,18/03/2008,5/8/2013,2013,8,1966,7374,7.5837564,0
IRF,9/4/2007,25/09/2009,2009,9,900,3674,6.8023949,0
ITMN,11/6/2003,6/5/2005,2005,5,695,2836,6.5439119,10400000
JADE,6/9/2007,16/01/2009,2009,1,498,3910,6.2105999,2000000
JAH,11/1/2006,20/01/2009,2009,1,1105,3089,7.0076008,8000000
JAKK,19/10/2004,17/11/2009,2009,11,1855,3942,7.52564,0
JASO,12/11/2008,28/01/2011,2011,1,807,3674,6.6933236,0
JNPR,22/05/2006,12/4/2010,2010,4,1421,7379,7.2591162,0
JOSB,7/6/2006,9/2/2010,2010,2,1343,5610,7.202661,0
JPM,1/7/2004,23/06/2008,2008,6,1453,6021,7.2813859,0
KEG,4/6/2004,16/11/2007,2007,11,1260,1389,7.1388669,0
KGC,4/4/2002,10/11/2008,2008,11,2412,1041,7.7882113,0
KLAC,22/05/2006,11/1/2008,2008,1,599,3827,6.3952618,0
KO,6/3/2000,3/7/2008,2008,7,3041,2086,8.0199413,137500000
KOS,10/11/2011,29/04/2014,2014,4,901,1321,6.8035054,0
KOSS,21/12/2009,6/3/2012,2012,3,806,3651,6.6920838,0
KVHI,2/7/2004,27/07/2007,2007,7,1120,3810,7.0210838,0
LAB,15/10/2003,22/09/2008,2008,9,1804,6211,7.4977617,0
LAVA,12/4/2005,6/6/2008,2008,6,1151,7372,7.0483866,0
LEAP,9/11/2007,24/03/2010,2010,3,866,4813,6.763885,0
LF,21/10/2003,7/4/2008,2008,4,1630,3944,7.3963351,2300000
LGND,2/8/2004,14/07/2006,2006,7,711,2834,6.5666723,0
LLNW,8/8/2007,15/11/2010,2010,11,1195,7389,7.0859013,0
LMT,21/07/2009,15/02/2013,2013,2,1305,3721,7.1739583,0
LPL,11/12/2006,19/10/2010,2010,10,1408,3679,7.2499256,0
LRN,16/12/2011,4/3/2013,2013,3,444,8211,6.0958247,0
LSCC,19/04/2004,2/8/2006,2006,8,835,3670,6.7274318,3500000
LVLT,18/06/2001,5/5/2006,2006,5,1782,4810,7.4854918,10250000
MATK,27/04/2005,14/12/2007,2007,12,961,2830,6.8679743,0
MBI,9/1/2008,6/9/2011,2011,9,1336,6351,7.1974354,0
MCK,27/04/1999,11/2/2005,2005,2,2117,5122,7.6577554,0
MDRX,13/02/2008,16/03/2012,2012,3,1493,7372,7.3085427,0
MDT,17/11/2008,20/07/2012,2012,7,1341,3845,7.2011709,0
MEAD,29/08/2006,15/10/2007,2007,10,412,3820,6.0210233,0
MED,11/2/2002,14/07/2005,2005,7,1249,2834,7.1300983,0
MGI,14/01/2008,9/3/2010,2010,3,785,7389,6.6656837,0
MLNK,8/6/2012,23/10/2014,2014,10,867,6719,6.765039,0
MMC,14/10/2004,13/11/2009,2009,11,1856,6351,7.5261788,0
MNKD,19/01/2011,6/8/2012,2012,8,565,2834,6.3368258,0
MOLX,14/02/2005,7/11/2006,2006,11,631,3670,6.4473057,0
MRGE,16/03/2006,1/7/2008,2008,7,838,7373,6.7310181,16000000
MRK,28/03/2008,7/6/2013,2013,6,1897,2834,7.5480289,0
MRVL,3/10/2006,9/6/2009,2009,6,980,3674,6.8875527,1092310
MRX,24/09/2008,21/09/2011,2011,9,1092,2834,6.9957662,0
MS,2/12/2008,8/9/2014,2014,9,2106,6022,7.6525459,0
MSO,24/07/2002,16/03/2007,2007,3,1696,2721,7.436028,0
MTEX,8/5/2005,19/11/2008,2008,11,1291,2830,7.1631722,0
MUSE,29/12/2003,24/06/2005,2005,6,543,7370,6.2971091,0
NAFC,20/10/2005,11/3/2008,2008,3,873,5141,6.7719355,6750000
NDN,3/2/2004,20/09/2006,2006,9,960,5331,6.8669333,0
NED,19/11/2007,8/2/2011,2011,2,1177,7372,7.070724,0
NEM,26/04/2005,20/10/2006,2006,10,542,1041,6.2952662,0
NLST,16/04/2007,16/02/2010,2010,2,1037,3674,6.944087,2600000
NOVL,22/04/1997,24/02/2005,2005,2,2865,7370,7.9603238,13900000
NPSP,2/5/2006,26/02/2009,2009,2,1031,2830,6.9382844,0
NR,16/04/2006,27/07/2007,2007,7,467,3533,6.1463294,9240000
NSU,6/2/2012,22/10/2013,2013,10,624,1041,6.4361506,0
NWPX,11/11/2009,24/09/2012,2012,9,1048,3310,6.954639,0
OCNW,17/04/2007,12/11/2009,2009,11,940,5065,6.84588,0
OESX,6/2/2008,17/09/2010,2010,9,954,3641,6.8606639,0
OMG,30/10/2002,24/06/2005,2005,6,968,2869,6.8752322,92400000
ONP,22/07/2010,4/10/2012,2012,10,805,2621,6.6908422,0
OPXT,13/02/2008,6/10/2009,2009,10,601,3674,6.3985949,0
ORA,24/02/2010,27/03/2012,2012,3,762,4911,6.6359468,3100000
ORBC,14/08/2007,22/05/2009,2009,5,647,4899,6.4723463,2450000
OVTI,8/6/2004,22/11/2006,2006,11,897,3674,6.7990561,0
OVTI,13/10/2011,30/12/2014,2014,12,1174,3674,7.068172,0
PARS,17/12/2004,14/08/2007,2007,8,970,2830,6.877296,7000000
PAY,30/11/2007,9/8/2013,2013,8,2079,3578,7.6396422,0
PBH,28/07/2005,28/07/2009,2009,7,1461,2834,7.2868762,11000000
PCLN,26/09/2000,3/5/2007,2007,5,2410,7389,7.7873821,80000000
PLCE,23/08/2007,17/07/2009,2009,7,694,5641,6.5424719,0
PLL,2/8/2007,26/04/2012,2012,4,1729,3569,7.4552984,0
PLMD,17/11/2000,9/5/2007,2007,5,2364,3840,7.7681103,5500000
PMACA,4/11/2003,14/08/2007,2007,8,1379,6330,7.2291141,0
PMTR,3/5/2002,17/03/2005,2005,3,1049,3672,6.9555926,12000000
PNRA,26/07/2006,11/2/2011,2011,2,1661,5810,7.415175,5750000
PPC,24/09/2008,14/11/2011,2011,11,1146,2015,7.0440331,0
PRGO,2/2/2009,27/12/2012,2012,12,1424,2830,7.2612252,0
PRGX,29/03/2000,8/2/2005,2005,2,1777,8720,7.4826818,6750000
PRST,29/09/2006,11/3/2009,2009,3,894,2750,6.7957058,0
PSMT,7/11/2003,17/05/2005,2005,5,557,5900,6.3225651,2350000
PSSI,8/5/1998,19/10/2005,2005,10,2721,5040,7.9087548,16500000
QLTY,2/2/2004,1/7/2005,2005,7,515,4213,6.2441669,8150000
QSFT,3/7/2006,19/11/2009,2009,11,1235,7370,7.1188264,509630
RAS,31/07/2007,15/07/2009,2009,7,715,6798,6.5722823,0
RCII,8/10/2001,30/10/2007,2007,10,2213,7350,7.7021046,0
REDF,20/03/2001,15/02/2007,2007,2,2158,7379,7.6769371,0
REGN,30/03/2003,9/9/2005,2005,9,894,2830,6.7957058,0
RGR,29/10/2007,25/01/2012,2012,1,1549,3484,7.345365,0
RMBS,27/06/2006,4/3/2008,2008,3,616,3670,6.4232469,0
RNR,25/07/2005,13/04/2007,2007,4,627,6331,6.4409466,0
RRGB,11/8/2005,24/05/2007,2007,5,651,5812,6.4785094,1500000
RTK,15/12/2009,23/03/2011,2011,3,463,1321,6.1377273,0
RYL,7/1/2004,15/03/2007,2007,3,1163,1531,7.0587583,1200000
S,17/10/2002,14/09/2006,2006,9,1428,4813,7.26403,0
S,16/11/2004,14/10/2010,2010,10,2158,4813,7.6769371,0
SCON,1/3/2004,22/03/2005,2005,3,386,3670,5.9558372,4000000
SGY,6/10/2005,11/1/2010,2010,1,1558,1311,7.3511581,10500000
SHFL,12/3/2007,2/2/2010,2010,2,1058,3999,6.9641356,0
SHOR,7/1/2008,4/6/2010,2010,6,879,3661,6.7787848,0
SKH,9/6/2009,31/08/2010,2010,8,448,8082,6.1047931,0
SLR,26/09/2002,28/11/2005,2005,11,1159,3672,7.0553126,0
SMT,10/11/2010,30/04/2013,2013,4,902,9999,6.8046145,0
SMTC,19/07/2006,10/3/2011,2011,3,1695,3670,7.4354382,0
SNIC,17/05/2007,12/10/2009,2009,10,879,7373,6.7787848,0
SNV,21/01/2009,17/03/2014,2014,3,1881,6021,7.5395589,0
SNY,13/06/2007,9/9/2013,2013,9,2280,2834,7.7319307,0
SONS,16/01/2002,14/01/2009,2009,1,2555,3661,7.8458076,769586
SONS,11/2/2004,21/12/2007,2007,12,1409,3661,7.2506356,0
SPNC,4/9/2008,7/9/2010,2010,9,733,3840,6.5971456,0
SPRT,1/10/2004,27/06/2007,2007,6,999,7389,6.906755,0
SPU,1/4/2011,29/07/2013,2013,7,850,7389,6.7452364,0
SQNS,27/07/2011,31/10/2013,2013,10,827,3674,6.7178049,0
SRT,5/5/2005,3/9/2009,2009,9,1582,8742,7.3664451,7500000
SRZ,15/06/2006,27/02/2009,2009,2,988,8361,6.8956828,0
STAA,6/1/2004,26/05/2006,2006,5,871,3840,6.7696419,3700000
STEC,3/11/2009,5/10/2012,2012,10,1067,3572,6.9726062,0
STEL,1/4/2002,24/08/2005,2005,8,1241,7373,7.123673,12000000
STKL,25/01/2008,13/11/2009,2009,11,658,2040,6.4892049,0
STKR,9/11/2004,21/08/2007,2007,8,1015,3827,6.9226437,3400000
STT,19/10/2009,21/07/2014,2014,7,1736,6022,7.4593387,0
SWC,1/4/2002,2/5/2007,2007,5,1857,1099,7.5267177,2550000
T,22/08/2002,2/3/2006,2006,3,1288,4813,7.1608458,0
TAP,27/04/2005,7/11/2008,2008,11,1290,2082,7.1623974,0
TASR,6/1/2005,11/10/2006,2006,10,643,3480,6.4661446,0
TE,4/2/2003,28/06/2007,2007,6,1605,4911,7.3808789,17350000
THLD,14/07/2006,30/10/2009,2009,10,1204,2834,7.0934048,0
THOR,29/06/2004,23/08/2006,2006,8,785,3845,6.6656837,3375000
TLAB,19/06/2001,5/4/2011,2011,4,3577,3661,8.0385122,7375000
TNAV,3/9/2010,3/9/2010,2010,9,0,9999,,0
TNS,22/02/2006,1/4/2008,2008,4,769,7389,6.6450911,3600000
TOL,8/11/2005,28/10/2010,2010,10,1815,1531,7.5038409,0
TTEC,8/11/2007,21/10/2009,2009,10,713,7380,6.5694814,0
TTI,16/10/2007,21/07/2010,2010,7,1009,2819,6.9167151,0
TTIL,14/11/2002,14/04/2008,2008,4,1978,7370,7.5898414,0
TXT,26/09/2001,21/02/2006,2006,2,1609,3728,7.383368,7000000
TYC,1/2/2002,27/06/2007,2007,6,1972,3679,7.5868034,0
TYC,28/05/2003,7/8/2007,2007,8,1532,3679,7.3343291,0
UHAL,26/09/2002,24/07/2006,2006,7,1397,6710,7.2420826,7000000
ULTA,10/12/2007,3/7/2009,2009,7,571,5999,6.3473892,3750000
UNH,7/4/2006,22/09/2008,2008,9,899,6324,6.8012829,0
UNM,4/2/2003,30/07/2007,2007,7,1637,6321,7.4006205,0
URI,30/08/2004,28/01/2009,2009,1,1612,7359,7.385231,27500000
UTSI,11/8/2004,13/01/2010,2010,1,1981,3660,7.5913572,0
UTSI,4/9/2007,14/05/2009,2009,5,618,3660,6.4264884,2791740
VECO,10/2/2005,16/08/2007,2007,8,917,3559,6.8211074,5500000
VG,31/05/2006,17/08/2009,2009,8,1174,4813,7.068172,0
VRSN,25/04/2002,12/12/2006,2006,12,1692,7372,7.4336667,0
VRTS,16/01/2003,18/02/2005,2005,2,764,7370,6.6385679,35000000
WAVX,18/12/2003,2/10/2006,2006,10,1019,7371,6.9265771,0
WCRX,26/09/2006,28/10/2008,2008,10,763,2834,6.6372581,0
WEDC,9/6/2004,6/10/2006,2006,10,849,3674,6.7440591,0
WFT,1/3/2011,29/01/2014,2014,1,1065,1381,6.9707303,0
WG,16/05/2005,27/11/2006,2006,11,560,1389,6.3279366,0
WM,28/06/2004,5/10/2011,2011,10,2655,4953,7.8842001,0
WM,31/10/2007,30/06/2011,2011,6,1338,4953,7.1989312,0
WMB,29/01/2002,5/10/2006,2006,10,1710,4922,7.4442487,0
WR,26/12/2002,31/05/2005,2005,5,887,4931,6.7878451,30000000
WSTM,14/04/2005,13/03/2008,2008,3,1064,7361,6.9697905,3900000
XEL,26/07/2002,14/01/2005,2005,1,903,4931,6.8057227,80000000
XRM,15/11/2005,5/11/2008,2008,11,1086,2221,6.9902563,0
XRX,27/07/2000,27/03/2008,2008,3,2800,3577,7.9373746,0
ZIXI,4/5/2004,7/3/2008,2008,3,1403,3670,7.2463679,5600000
ZLC,5/5/2006,29/02/2008,2008,2,665,5944,6.4997869,0
ZOMX,21/09/2000,25/04/2005,2005,4,1677,3650,7.4247618,5820000
